year,avg_inflation
1960,3.5549795691672914
1961,3.4912891268072115
1962,4.630783121701187
1963,5.846611568279104
1964,6.263869625960357
1965,8.192840835881015
1966,17.765764337915883
1967,5.496823965124626
1968,6.319735600065827
1969,4.433543544347736
1970,4.927910594776063
1971,5.413942034671545
1972,7.486036955197426
1973,14.937270256539806
1974,23.26095755070942
1975,18.036845874629453
1976,13.118728961421684
1977,14.428198259777174
1978,12.013934064610675
1979,14.483245628697265
1980,17.852040353158344
1981,16.363885671466104
1982,14.78549492980765
1983,16.56118151070859
1984,23.261525096247038
1985,89.80024800044755
1986,13.478635815896022
1987,12.961094613848186
1988,21.333577264149525
1989,56.45999656375195
1990,81.93595013826632
1991,36.127458388186135
1992,64.54573702115174
1993,103.78359999692074
1994,216.28099422424577
1995,43.73533996509907
1996,34.843244858125516
1997,16.15679930498025
1998,8.87591994308884
1999,10.862035425029942
2000,11.071243200049778
2001,8.509867169142256
2002,5.626324168628145
2003,5.547045095738323
2004,4.983379268401746
2005,5.719460136819599
2006,5.596611677316729
2007,5.636808728211247
2008,10.151146495899964
2009,3.8876262422067067
2010,4.147088206596939
2011,6.329771579851673
2012,5.516933950620453
2013,4.221960842062914
2014,3.645941069745095
2015,3.719073142866375
2016,6.175018236558039
2017,4.790193948046351
2018,4.040265045216912
2019,4.752898807723412
2020,6.738401278475316
2021,7.486156909246115
2022,11.50368774539982
2023,8.937477601143465
